token,high_ai_count,low_ai_count,high_ai_freq,low_ai_freq,freq_delta
под,235,146,0.0005633843336002416,0.0023309279008876683,-0.0017675435672874266
если,78,116,0.00018699565115242063,0.001851970113034038,-0.0016649744618816172
при,1190,260,0.0028528823701459045,0.004150967494731464,-0.0012980851245855598
http,22,82,5.274236314555454e-05,0.0013091512867999234,-0.0012564089236543688
можно,372,134,0.0008918254131884677,0.0021393447857462164,-0.0012475193725577489
ред,2,77,4.794760285959504e-06,0.0012293249888243184,-0.001224530228538359
институт,128,91,0.00030686465830140824,0.0014528386231560126,-0.0011459739648546044
или,415,133,0.000994912759336597,0.0021233795261510952,-0.0011284667668144982
года,296,114,0.0007096245223220066,0.0018200395938437958,-0.0011104150715217894
frac,17,72,4.075546243065578e-05,0.0011494986908487132,-0.0011087432284180574
www,15,70,3.5960702144696275e-05,0.001117568171658471,-0.0010816074695137747
вестник,38,73,9.110044543323056e-05,0.0011654639504438341,-0.0010743635050106035
все,266,101,0.0006377031180326139,0.0016124912191072228,-0.0009747881010746088
partial,8,60,1.9179041143838015e-05,0.000957915575707261,-0.000938736534563423
url,2,59,4.794760285959504e-06,0.00094195031611214,-0.0009371555558261805
техн,3,58,7.192140428939255e-06,0.000925985056517019,-0.0009187929160880797
наук,242,90,0.0005801659946010999,0.0014368733635608914,-0.0008567073689597915
университет,259,92,0.0006209214570317557,0.0014688038827511336,-0.0008478824257193778
мед,0,53,0.0,0.0008461587585414139,-0.0008461587585414139
ран,87,65,0.0002085720724392384,0.001037741873682866,-0.0008291698012436277
вып,2,51,4.794760285959504e-06,0.0008142282393511719,-0.0008094334790652123
обращения,24,54,5.753712343151404e-05,0.0008621240181365349,-0.0008045868947050209
тем,267,90,0.0006401004981755937,0.0014368733635608914,-0.0007967728653852978
университета,94,64,0.00022535373344009666,0.0010217766140877451,-0.0007964228806476485
ресурс,22,52,5.274236314555454e-05,0.0008301934989462928,-0.0007774511358007382
науч,0,47,0.0,0.0007503672009706877,-0.0007503672009706877
этом,341,98,0.0008175066287560953,0.0015645954403218597,-0.0007470888115657644
электронный,10,48,2.3973801429797518e-05,0.0007663324605658088,-0.0007423586591360113
дата,76,57,0.00018220089086646112,0.0009100197969218979,-0.0007278189060554368
время,549,128,0.0013161616984958837,0.0020435532281754903,-0.0007273915296796066
имени,67,55,0.00016062446957964337,0.0008780892777316559,-0.0007174648081520126
типа,95,59,0.00022775111358307642,0.00094195031611214,-0.0007141992025290636
москва,169,70,0.00040515724416357804,0.001117568171658471,-0.0007124109274948931
один,63,52,0.00015103494900772435,0.0008301934989462928,-0.0006791585499385684
случае,63,52,0.00015103494900772435,0.0008301934989462928,-0.0006791585499385684
спб,0,41,0.0,0.0006545756433999617,-0.0006545756433999617
так,936,179,0.0022439478138290476,0.002857781467526662,-0.0006138336536976145
когда,226,72,0.0005418079123134239,0.0011494986908487132,-0.0006076907785352893
государственный,188,66,0.0004507074668801933,0.001053707133277987,-0.0006029996663977937
будет,143,59,0.0003428253604461045,0.00094195031611214,-0.0005991249556660356
