feature,high_ai_mean,low_ai_mean,delta_high_minus_low,ratio_high_over_low
n_chars,627.3343487090224,226.2949913644214,401.03935734460094,2.772197232146311
n_words,74.7625471424427,31.09706390328152,43.665483239161176,2.4041673958342216
avg_words_per_sentence,18.8042863359443,7.782556131260795,11.021730204683507,2.4162095356320874
avg_chars_per_word,7.175428058634148,5.0997108045459925,2.075717254088156,1.4070264635864875
repeated_words_ge3,2.1966927763272412,0.7944732297063903,1.402219546620851,2.7649676467249407
cyr_ratio,0.9360558468741564,0.9013833863736462,0.034672460500510205,1.0384658304387004
semicolon_ratio,0.0002456979271979527,0.0009689620311053436,-0.0007232641039073909,0.2535681681125036
quote_ratio,0.001063575020186324,0.0022609421965684,-0.0011973671763820762,0.47041230058892736
et_al_mentions,0.002901073397156948,0.004145077720207254,-0.0012440043230503056,0.6998839570641138
colon_ratio,0.0010500577218967011,0.0025931450237562225,-0.0015430873018595214,0.40493598016190835
dash_ratio,0.003490743155303574,0.00512490403255004,-0.0016341608772464664,0.6811333701338904
comma_ratio,0.01055293548169455,0.013768384747076194,-0.003215449265381644,0.7664614023758695
n_sentences,3.9776617348418917,3.993091537132988,-0.015429802291096362,0.9961358756373077
citation_brackets,0.07426747896721787,0.1001727115716753,-0.02590523260445743,0.7413943158968819
digit_ratio,0.011123236830490454,0.059248442158106145,-0.04812520532761569,0.18773889110548733
type_token_ratio,0.8661282413778173,0.9150916144194456,-0.048963373041628344,0.9464934742378862
year_mentions,0.329852045256745,0.4255613126079447,-0.09570926735119972,0.7750987589434065
parenthetical_blocks,0.3733681462140992,0.5640759930915371,-0.19070784687743791,0.6619110736618599
